id,user
2546331511,CDCbannedwords
1308370993,El_Cuyano
54341363,JornalOGlobo
246623440,dw_espanol
25091081,TOISportsNews
978662725,WebImportant
17227307,freeinews
2295940746,Rizky79087132
291647079,ekhonkhobor18
152311372,humaspolsekpon1
36545286,OPIDNEWS
1081116095325425665,PoliticaClarin
1127560946816307201,ReTargetingN
1098281493137317888,radio_dos
1073342248601960448,GoodStock4
2679109831,Ziarecom_actual
38291639,HingoraDr
1317768775,observadorpt
402962164,24Financieras
1138823711350546433,Postematico
1249194189759406080,Dailytimespk1
300405680,24matins_de
740720377354170369,AnonDeFrance
19401778,LaMareaec
1058104081,angie_keathly
24439373,AgenciaVmc
1179983284790427648,Agenzia_Italia
4727554899,MVMNoticias
718465772,ElCaribeRD
1160866712041881600,jechuchitomix
20766595,fx16news
2429755761,sole24ore
3359265495,HojePernambuco
3293713235,JRE_Super_Exp_E
543509447,CodigoQro
251606996,CMM_noticias
14325612,StreetNews24
87287287,kleinezeitung
567683754,Farmaceutico_es
1248255233433546754,0318_voice
104970187,Percepcioon
3058761989,CeoNewsTree
852519048176914433,sweetnonnie
1327843160,diarioonline
2347736202,punjabi_jagran
43861003,Liveinvenice
2861771,PlenoNews
720777431951482880,vco24news
1221127420276662278,pattydearie
1247484501069950979,T10WorldNews
70246707,iChannelVision
720186421105954816,kembang_polsek
1199984305549824000,dario_nociti
934887919927660545,lawjusticeco
1015106434701250562,xinhua_hindi
1197279792061714432,QuickTrackGPS
182121840,GhazipurNewsIn
2884909475,2aOpJur
65862569,123_NEWS_USA
241668304,Planoinforma
4536779895,joautaro1
3445882817,elpulsohn
725706394696081408,PacoZeaCom
525730012,zeroedtweets
3130656076,RCR750
37801217,newsstore247
71210454,CCGevirtz
957951018259636224,V_BharatNews
2710634580,antarabiz
781798363457093633,BS_Zeitung
3025426804,blogdeassis
745300168510144513,Thenews24kan
746410204216987648,RNcat50
1100089350237372416,celabrationng
100181484,yoyocialnews
299878544,Crumpamag
1451651696,alphazbeta
1118049121,mcreativepky
