screen_name,score
CHVNoticias,0.0079
Health_O_Food,0.8387
theworldinnews,0.3354
rpstranslations,0.3725
sputnik_fr,0.9773
AgriculturaFM,0.0851
Drumpomag1,0.0697
Reporte_Indigo,0.8952
seacok2,0.0807
BangkokPostNews,0.0241
oie1718,0.2808
PMLOnline,0.9086
manatelugumovie,0.4543
SZ,0.9218
MarcrixNoticias,0.0340
MubeenS08509347,0.0237
Libertarian_Hub,0.9958
covid_au,0.3160
BuxxNews,0.0012
desktrading,0.9973
lhprovlampung,0.0079
PN_Peine,0.6788
descifradocom,0.7779
suluhmediaOL,0.0113
canalN_,0.5455
laprensa,0.0414
TheChestnutPost,0.0006
rcooley123,0.9898
RajaP69090794,0.0859
Radio_Zocalo,0.0592
khpintl,0.3808
sonneyjo,0.9796
covesiacom,0.0261
RudyWow28152987,0.0172
AcerboLivio,0.6462
Rechtsuniversum,0.2392
BGuantheng,0.0016
EZvarowski,0.9985
ReporteActivo,0.9668
soy_502,0.1117
fa_noticias,0.0006
ND_mais_,0.0028
AbzaBudi,0.8527
SACHKAHOON,0.9589
CoronaVirusCall,0.1630
CoronaVirusCall,0.1630
ForensicPsyMD,0.7722
thepressmv,0.4247
caiohostilio,0.1933
eesanjenews,0.0198
Nice_Matin,0.6919
GoRiauCom,0.0200
aim_agencia,0.6301
ecd_,0.4150
pictanews,0.9843
unedited01,0.6942
apetrazzuolo,0.4430
DelJenkins10,0.8582
JWin802,0.2275
filsdu_soleil,0.9516
wartakotalive,0.0368
CoterraneosG,0.9921
Gummbyman32,0.3234
televizyonlakay,0.0136
AlGhadTV,0.0101
CkdHumas,0.0018
polsekcibatuPWK,0.0007
sfastlicht,0.9650
technology_tis,0.0827
DyaneOrsa,0.8920
Unionradionet,0.1216
LatestNewsHub1,0.0114
Hiperenlazados,0.7181
COVIDLiveFeed,0.4129
KVajpayaee,0.0895
nouvelles2025,0.9967
El_DiarioMx,0.0250
Genpi_Co,0.0377
BloGoalcom,0.0198
alcalorpolitico,0.0381
RepublicaNepal,0.0110
ladh,0.5836
tcomer4418,0.0509
News_aus_HH,0.9909
snoopbee1,0.9666
teresa_pnp,0.5597
tuitdepor,0.6437
solusnan1,0.8825
dronechris75,0.7957
SafeHomeDiy,0.0374
AGazetaES,0.0128
AconteceJG,0.0017
HorrillSusan,0.9752
_covid_19_bot_,0.0096
TfsNewsdotcom,0.7574
FunnyLittleBaby,0.0314
amnewslive,0.0608
SozcuDunya,Error
UltraTextual,0.5212
420cashcrop,0.9672
gabcampaniello,0.2271
FOCUS_TopNews,0.9676
elimpulsocom,0.9698
calciomercato_m,0.1116
ElMundoSV,0.0581
JdLuxemburgo,0.0055
SET_Noticias,0.1903
tifatait,0.6277
nairaland,0.7509
ilmessaggeroit,0.2409
chestnut_daniel,0.9980
videos_year,0.4498
Marilinmorante,0.0887
MediaHabercom,0.6763
JapanNews24X7,0.5057
TuiterPro,0.3675
PapooTx,0.8313
pratiksarambal1,0.1102
Qaumi_Awaz,0.0513
briefcy,0.4268
noticialminuto,0.1885
Newscoza,0.3674
asdfcell,0.0012
RQuks,0.2256
polsekpasjam2,0.0073
FmBolivia,0.7509
newsclickngr,0.8870
LimaAlDia,0.0386
AMXNoticias,0.0054
ncdn_negocios,0.6371
Cadena3Com,0.1987
interfaxua,0.0998
SinEmbargoMX,0.0468
up_again,0.9969
eloncecom,0.5063
kashmirpen,0.0532
FAZ_Top,0.4602
ExpresoPeru,0.9116
ev3ponies,0.9954
scottf6f,0.3186
Punto_deCorte,0.0416
sports_boo,0.0664
NewsWingNews,0.0298
xnewsid,0.1705
periodicoaragon,0.4872
Agus376757,0.9483
hwnewsmarathi,0.1324
ultimenotizie,0.3156
rejectpetitions,0.9187
courageousgirl2,0.9551
pototanilo2PNP,0.1538
emsavalles,0.4126
AllThingsWSB,0.0093
mathrubhuminews,0.8970
sedlacek_d,0.4832
Contracts,0.3050
diciradio,0.5975
SinEmbargoMX,0.0468
noticias4vision,0.0165
tedjosaputro2,0.0344
juan091248,0.7538
moybycom,0.5782
cronicajalisco,0.2237
noticiasdcampos,0.2946
msncl,0.0294
venezuelahoy_,0.1087
LaManyanacat,0.0207
PemdaKabJember,0.0005
ZHKannada,0.4177
defumat,0.3677
Berita7dotid,0.0043
ileoncom,0.6088
LiveEdges,0.8810
CoachingBridges,0.0886
22thabs,0.0050
PrahaarNews,Error
Difusion365,0.4731
MehanstarkNews,0.3654
tmcbondowoso,0.0007
LosArticulistas,0.5968
monngonmoingay3,0.5201
noticiascyl,0.4026
mediafulltv,Error
SOLQR,0.0343
SuresteSur,0.2405
cronachecampane,0.1784
OfficialVoK,0.9309
ComarcalCV,0.0338
revistaforum,0.0066
colmant_,0.9374
SiasatToday,0.9228
MeanProgress,0.9995
DKashmirimages,0.0110
Lajme365,0.6669
eyemagistus,0.9977
HgHermann,0.9922
InfoTextual,0.8317
PTV_Noticias,0.1514
antikorua,0.7941
beafricainfo,0.1211
OmNoticiasAr,0.0187
24Newsorder,0.2065
andi_achilles,0.4801
SedgeNew,0.7279
Techinfinityli1,0.0019
RepartoDigital,0.9748
BettyEyes,0.9610
puntoporpunto,0.0949
ahoradigital1,0.4364
uatime_net,0.9925
COVID19_SL,0.0366
yonghuasupply,0.9637
BsAsAhora,0.0696
SZ_TopNews,0.8350
RRNoticiasqro,0.1865
NEWSFORFOREX1,0.1220
Patrick30373175,0.9195
PandemicIntel,0.5678
MoLulkowski,0.6104
polresjembrana,0.0698
CDCbannedwords,0.9819
El_Cuyano,0.0059
JornalOGlobo,0.0035
dw_espanol,0.1552
TOISportsNews,0.0130
WebImportant,0.3304
freeinews,0.9966
Rizky79087132,0.3306
ekhonkhobor18,0.7038
humaspolsekpon1,0.0129
OPIDNEWS,0.9986
PoliticaClarin,0.0590
ReTargetingN,0.0497
radio_dos,0.0478
GoodStock4,0.1811
Ziarecom_actual,0.9871
HingoraDr,0.8504
observadorpt,0.0010
24Financieras,0.7870
Postematico,0.5226
Dailytimespk1,0.2586
24matins_de,0.6258
AnonDeFrance,0.3047
LaMareaec,0.3511
angie_keathly,0.9823
AgenciaVmc,0.0084
Agenzia_Italia,0.1858
MVMNoticias,0.0172
ElCaribeRD,0.0875
jechuchitomix,0.0108
fx16news,0.7193
sole24ore,0.2699
HojePernambuco,0.0019
JRE_Super_Exp_E,0.0009
CodigoQro,0.0233
CMM_noticias,0.4003
StreetNews24,0.2801
kleinezeitung,0.0291
Farmaceutico_es,0.6339
0318_voice,0.9173
Percepcioon,0.1056
CeoNewsTree,0.3361
sweetnonnie,0.7444
diarioonline,0.0010
punjabi_jagran,0.0637
Liveinvenice,Error
PlenoNews,0.1133
vco24news,0.2186
pattydearie,0.5068
T10WorldNews,0.8101
iChannelVision,0.0803
kembang_polsek,0.0890
dario_nociti,0.9821
lawjusticeco,0.2103
xinhua_hindi,0.6805
QuickTrackGPS,0.3906
GhazipurNewsIn,0.0180
2aOpJur,0.4760
123_NEWS_USA,0.0502
Planoinforma,0.7460
joautaro1,0.5316
elpulsohn,0.2394
PacoZeaCom,0.0320
zeroedtweets,0.9602
RCR750,0.3965
newsstore247,0.0238
CCGevirtz,0.2645
V_BharatNews,0.0086
antarabiz,0.0498
BS_Zeitung,0.7118
blogdeassis,0.0002
Thenews24kan,0.4409
RNcat50,0.9406
celabrationng,0.0024
yoyocialnews,0.0063
Crumpamag,0.0328
alphazbeta,0.0637
mcreativepky,0.0843
Catps06Stn,0.6386
navycapital,0.2926
kalderanews,0.0031
ATLTechBlogs,0.0358
SpyDoggie,0.9688
Forbes_Mexico,0.0255
kapookdotcom,0.0064
canal_44,0.8522
hfocusnews,0.0241
Forbes_Mexico,0.0255
municipiosefreg,0.0015
ebredigitalcat,0.3247
MestizoNews,0.0236
s3bland57,0.5166
HOYTamaulipas,0.4220
Zaeni65,0.0010
mipuntodevistaa,0.0260
fajaronline,0.2089
ldhnoticias,0.1109
News_Boerse,0.1574
RTenfrancais,0.9558
Notipeninsular,0.3355
today_worlds,0.8251
sunehradaur,0.9869
techami31,0.3795
CAPITALNEWS7,0.9873
JapanGazette,0.7518
schoolmoneyorg,0.0139
democracynow,0.7491
INNNEWS,0.3084
tempostretto,0.2191
BilalSunasra,Error
PausaMx,0.8225
murcia_com,0.9100
KelingUtara,0.1714
Refess,0.2388
kazuhiro_yn,0.6015
RcRegalstarfire,0.9698
trumpwatchapp,0.4932
YonhapNews,0.1321
MSNMSIA,0.9173
gistshub,0.7500
ActaSanitaria,0.3617
love1045fm,0.9210
elmananarey,0.0041
ithermalcameras,0.8880
mutuellesinfo,0.3913
RSScockpit,0.8467
gasfuel,0.8296
DiarioCantabria,0.8649
CInfotracker,0.5820
NitroNewsBrasil,0.0542
nguoivietonline,0.6270
discovernauts_d,0.0168
SahalFarhan1,0.3901
HiNagendraBandi,0.0319
disabledsenior,0.2826
viralnewsinUS,0.0663
sonmuhurhaber,0.0314
BambangPeha,0.2361
UniversalStats,0.1624
iGloobe_info,0.2761
NewsQuicky,0.8281
FunkeBerlin,0.5746
MashrakN,0.0299
Pjw20161951,0.9999
brecherobr,0.7827
ChernigovOrg,0.0009
BabeTruth2,0.9895
asiasanchar,0.0969
AciertaOaxaca,0.3797
Ign0rant_Girl,0.9309
ThomasJankow,0.9730
liderweb_mx,0.1413
vision_kashmir,0.6911
StraNotizie,0.0018
www_sesin_at,0.2926
jcmarbury,0.6009
vivere_sardegna,0.0705
ICEHInvest_News,0.1155
voiceofbongo,0.2521
Informedios,0.9977
noahcameron21,0.6176
rhotwire,0.9678
Vishalverma111,0.0220
DMV_Coronavirus,0.0470
GujaratHeadline,0.0056
ELBRAVOMX,0.1707
smninews,0.0699
dineshchandra04,0.8040
ZH_Freed,0.9898
MontyBoa99,0.8568
MarilouGeorge,0.8794
jcmarbury,0.6009
globalxmagzine,0.3208
sexologorvmc,0.0829
EducationNews_b,0.7786
CalcDay,0.9699
Waqtnewstv,0.0499
KosovoOnline,0.3921
BudGothmog44,0.5712
csbnnews,0.9538
cnm_mv,0.0165
VersionFinal,0.0542
TheAsianInduk,0.0899
noticiero001,0.3205
InstitutoCato,0.8961
Lixl99742261,0.9413
regan11218lane,0.9870
Lynne04289004,0.9972
bals_theater,0.7640
trapani24h,0.2079
Arjunkgopi_,0.9840
mcebisco,Error
eldesconcierto,0.9955
novy_region,0.4445
Ecodiariozac,0.0925
humasdusel01,0.1778
TheYdraft,0.0400
irwandi_sry,0.0035
code_name_v,0.2929
small1ldy1,0.9929
DesheBideshe,0.9173
AU_DehradunNews,0.0781
GazeteRuzgarli,0.3489
6nsinvt,0.9928
Xenohadi,0.0868
tusciaweb,0.9876
rationalreview,0.9657
levante_emv,0.0708
TunesoundsMusic,0.0017
Nicochan33,0.9533
ETAuto,0.2962
diariochihuahua,0.7239
olddike,0.5321
WArjasa,0.0364
abccordoba,0.1428
RadioNordesteOK,0.0847
Stettlernews,0.9237
Mexcan6,0.9726
junichi_suzuki,0.9944
OGlobo_Mundo,0.0396
LargeSonLogic,0.8723
diariolaopinion,0.8179
Joglosemarnews,0.0276
omjadhav9950,0.7266
webdevalencia,0.4991
TelemundoSports,0.1334
ecu11com,0.1351
tusuksate_net,0.2508
LaRedRevela,0.9739
THENEWEST14,0.2549
media_arahkita,0.0804
Unfreakin,0.0746
AgenciaElVigia,0.8285
ElDia_do,0.2631
Almomentonet,0.2833
dontpanic1955,0.8342
reconstituted17,0.9173
imperianews_it,0.3167
Myway69474741,0.6027
surgiu,0.0002
MyGrannyTheGeek,0.6786
TelevisaSON,0.2191
derStandardde,0.6226
UpNewsBot,0.8367
TyCSports,0.4722
ucinoticias_pe,0.2317
lavozdexela,0.1945
GistAfri_com,0.7300
DianeMo24012416,0.9959
DinamaniDaily,0.1751
BinaryOptionEU,0.6030
TCricare,0.0001
alwihdainfo,0.0185
brailynmoca,0.1595
reporaso,0.0350
BarusArus,0.9968
FlashAlert_me,0.4229
quejastabasco,0.2118
IbnBharat,0.9543
enlagrillacom,0.8736
DRAGON_XFILES,0.3086
rahbarlaw,0.0056
Bagongofficial_,0.0016
arano2015,0.1116
CountyBradford,0.0323
vitorinodapeste,0.0001
Portafolioco,0.6964
GulfInsider,0.1828
jantaserishta,0.7552
msiagazette,0.0009
JChapada,0.0001
abc24al,0.8704
bill_21c,0.5261
leakblast,0.5887
baluchexpress,0.4020
ConservativeUT,0.0191
xpshiscoa,0.0079
gnkamat,0.5818
KazAkparat,0.0269
EveningNews,0.5425
Gestionpe,0.8123
LaStampaTV,0.9538
jennyikeji,0.3175
avanewstv,Error
Yesa_Lie7,0.9639
despacho505,0.0456
LFNewsBahia,0.0004
Ragurams11,0.0029
irpiniatimes1,0.1417
RdGuaibaOficial,0.0231
OnlineWebMediaS,0.9818
csinformacion,0.4822
Israaesther1,0.9671
letranthuytrang,0.6014
de_rt_com,0.0149
YahooFinanceUK,0.1876
PolsekSlogohimo,0.0018
corona_num_bot,0.0574
MuroPoliticoMX,0.2528
informacion_es,0.1252
Republica_com,0.7792
1NewsBrasil,0.0031
BizFlying,0.8411
AcessePolitica,0.0007
Caked46079265,0.3304
PhillyDailyNews,0.8152
noticias_tvperu,0.1062
MonJournaliste,0.1933
iLeyes,0.3225
PatriciaBride,0.9652
bassairpinia,0.1023
BTrannoy,0.2647
sumariuminfo,0.2193
DiarioTalCual,0.7727
garware1,0.1624
HomeBusinessCen,0.9613
play_flag,0.7837
RadioKlasikRTM,0.0032
MediaDusk,0.9340
zonacero,0.0460
InfoSecHotSpot,0.1377
tamilflashnews,0.1775
journalist_cafe,0.0007
SupapornSnopek,0.7960
newinformers,0.0372
kapookdotcom,0.0205
iPicNews,0.9849
elsiglodigital,0.1997
NickB09121299,0.9069
SigloDurango,0.0458
elpaishn,0.2238
ECEspana,0.0789
ThaiAmuletFair,0.9604
covid19_xix,0.2065
FAZ_Politik,0.4012
ReutersJapan,0.9173
h24news_in,0.0240
sabulosaa,0.9814
June_r57,0.9633
AmyMWilson88,0.9905
segurosybanca,0.4028
TheTobster111,0.6493
threesocieties,0.0059
informagene,0.0224
appealhyoka,0.9173
OdionSuccex,0.6787
NueveCuatroUno,0.6850
corpusalbus,0.9776
sjmn777,0.5874
enfoqueinforma,0.0328
d24online,0.5972
hutudole,0.6710
TOIBusiness,0.1887
cinhabernet,0.9669
naiz_info,0.3828
igent_io,0.9701
alaturka,0.9965
ojeconomico,0.0696
PPunggelan,0.0013
MetroEcuador,0.2732
tempoweb,0.8908
bcuriouswithme,0.9969
LosAngeles_b,0.7704
